user,institution,started_at,submitted_at,wave,confidence_rating,community_belonging,reflection_text,custom_q_peer_connection
S0116,PartnerB,2023-08-22 11:57:00,2023-08-22 12:11:55,pre,4,3,I wish we had more time for small-group work.,2
S0119,PartnerB,2023-11-17 11:13:00,2023-11-17 11:16:29,post,4,5,,5
S0143,PartnerB,2023-08-24 08:14:00,2023-08-24 08:24:38,pre,2,3,I wish we had more time for small-group work.,3
S0198,PartnerB,2023-11-24 15:46:00,2023-11-24 15:54:58,post,3,4,I wish we had more time for small-group work.,5
S0127,PartnerB,2023-11-28 20:00:00,2023-11-28 20:04:17,post,5,5,,3
S0015,PartnerB,2023-11-28 20:48:00,2023-11-28 20:48:08,post,2,4,,3
S0145,PartnerB,2023-08-21 09:25:00,2023-08-21 09:26:42,pre,5,4,This helped me feel more connected to peers.,3
S0063,PartnerB,2023-08-27 21:13:00,2023-08-27 21:27:26,pre,5,1,The dialogue exercises were eye-opening.,3
S0028,PartnerB,2023-11-25 17:40:00,2023-11-25 17:50:27,post,4,5,I wish we had more time for small-group work.,4
S0028,PartnerB,2023-11-25 17:40:00,2023-11-25 17:50:27,post,4,5,I wish we had more time for small-group work.,4
S0004,PartnerB,2023-08-23 20:42:00,2023-08-23 20:47:48,pre,3,4,I wish we had more time for small-group work.,3
S0025,PartnerB,2023-11-19 15:32:00,2023-11-19 15:46:11,post,5,4,,4
S0016,PartnerB,2023-09-02 13:50:00,2023-09-02 14:02:13,pre,1,3,The dialogue exercises were eye-opening.,1
S0128,PartnerB,2023-11-18 09:17:00,2023-11-18 09:23:53,post,4,5,,4
S0005,PartnerB,2023-11-16 21:52:00,2023-11-16 21:59:45,post,3,3,The dialogue exercises were eye-opening.,4
S0110,PartnerB,2023-09-02 15:17:00,2023-09-02 15:27:43,pre,4,5,I wish we had more time for small-group work.,2
S9902,PartnerB,2023-08-24 08:48:00,2023-08-24 08:59:03,pre,3,3,,3
S0004,PartnerB,2023-11-15 13:49:00,2023-11-15 13:50:39,post,5,5,The dialogue exercises were eye-opening.,3
S0080,PartnerB,2023-08-21 17:24:00,2023-08-21 17:36:11,pre,4,2,This helped me feel more connected to peers.,4
S0055,PartnerB,2023-11-28 17:28:00,2023-11-28 17:42:27,post,5,4,I wish we had more time for small-group work.,4
S0048,PartnerB,2023-11-15 15:10:00,2023-11-15 15:16:46,post,3,5,The dialogue exercises were eye-opening.,3
S0056,PartnerB,2023-11-22 19:55:00,2023-11-22 19:59:05,post,2,2,,5
S0198,PartnerB,2023-09-02 08:18:00,2023-09-02 08:22:44,pre,2,3,The dialogue exercises were eye-opening.,1
S0154,PartnerB,2023-08-25 13:09:00,2023-08-25 13:19:54,pre,2,3,This helped me feel more connected to peers.,2
S0079,PartnerB,2023-08-23 16:14:00,2023-08-23 16:25:09,pre,3,4,,3
S0157,PartnerB,2023-08-27 20:21:00,2023-08-27 20:23:28,pre,1,4,I wish we had more time for small-group work.,3
S0166,PartnerB,2023-08-22 11:19:00,2023-08-22 11:30:58,pre,4,3,The dialogue exercises were eye-opening.,1
S0171,PartnerB,2023-11-17 13:46:00,2023-11-17 13:48:07,post,4,3,,3
S0085,PartnerB,2023-09-01 08:09:00,2023-09-01 08:14:31,pre,4,3,I wish we had more time for small-group work.,2
S0099,PartnerB,2023-11-20 08:58:00,2023-11-20 09:08:52,post,4,3,,5
S0067,PartnerB,2023-11-22 20:41:00,2023-11-22 20:51:48,post,4,4,,4
S0169,PartnerB,2023-08-31 21:56:00,2023-08-31 22:05:24,pre,2,2,The dialogue exercises were eye-opening.,4
S0195,PartnerB,2023-11-15 12:08:00,2023-11-15 12:09:35,post,4,5,The dialogue exercises were eye-opening.,3
